Serial Number,UDID,Asset ID,Cover Tag,Location,Technician,Time Scanned,Owner,Returned
L3WM437GVH,,LO78745,561,watford@moderndemocracy.com,parisa,2024-06-10 10:16:26.929486,HI,2024-07-10 12:50:39.822152
HGC0M92QGM,00008030-0008649402C2202E,LO78744,229,crawley@moderndemocracy.com,diana,2024-06-10 10:30:33.224902,HI,2024-07-11 09:24:53.242977
R2Q6KY2404,,LO78743,216,crawley@moderndemocracy.com,diana,2024-06-10 10:09:13.870062,HI,2024-07-11 09:26:18.465944
MHVG42R1H9,,LO78742,284,arun@moderndemocracy.com,diana,2024-06-10 11:17:23.677358,HI,2024-07-11 15:01:44.807077
PXK6RF46CN,,LO78741,610,gosport@moderndemocracy.com,vilte,2024-06-10 10:40:58.641475,HI,2024-07-11 14:41:23.566665
JWQ5XHV994,,LO78740,173,harrow@moderndemocracy.com,diana,2024-06-07 17:23:02.820163,HI,2024-07-11 17:15:24.872104
CTWD6DQLJQ,,LO78739,502,rother@moderndemocracy.com,parisa,2024-06-10 09:31:34.033192,HI,2024-07-10 10:42:01.121488
VQL07V7VXW,00008030-000C44E60142202E,LO78738,275,crawley@moderndemocracy.com,diana,2024-06-10 11:01:40.604560,HI,2024-07-11 09:26:48.503246
Q3W7G2L7P5,,LO78737,2968,monmouthshire@moderndemocracy.com,mehdi,2024-06-26 09:40:25.723963,HI,2024-07-10 12:27:28.721781
C2G64D7LY9,,LO78736,182,arun@moderndemocracy.com,diana,2024-06-10 09:28:33.678591,HI,2024-07-11 15:05:58.587795
KR7M7GT9M9,,LO78735,537,watford@moderndemocracy.com,parisa,2024-06-10 09:49:18.528574,HI,2024-07-10 12:51:31.382736
HQPWR772F4,,LO78734,323,arun@moderndemocracy.com,diana,2024-06-10 11:46:58.144485,HI,2024-07-11 15:01:21.175352
MRQMWPHQ0X,,LO78733,254,crawley@moderndemocracy.com,diana,2024-06-10 10:49:45.193107,HI,2024-07-11 09:26:33.432337
RTWP2D46KK,,LO78732,292,arun@moderndemocracy.com,diana,2024-06-10 11:22:54.363712,HI,2024-07-11 15:05:43.223493
KLQ6QWH6NJ,,LO78731,633,gosport@moderndemocracy.com,vilte,2024-06-10 11:14:08.242232,HI,2024-07-11 14:40:57.536933
J7P6DQJ5XH,,LO78730,636,gosport@moderndemocracy.com,vilte,2024-06-10 11:12:20.844803,HI,2024-07-11 14:41:22.266970
W4QHNY97CD,,LO78729,253,crawley@moderndemocracy.com,diana,2024-06-10 10:49:09.654281,HI,2024-07-11 09:27:47.156223
YXG7MHGW2R,,LO78728,507,bridgend@moderndemocracy.com,parisa,2024-06-10 09:26:38.889013,HI,2024-07-10 09:00:11.737139
XGG2XGWHKC,,LO78727,136,harrow@moderndemocracy.com,diana,2024-06-07 16:50:25.035568,HI,2024-07-11 17:13:51.988701
JLQ2XJR2NV,,LO78726,1498,rother@moderndemocracy.com,vilte,2024-06-14 16:39:35.512387,HI,2024-07-10 10:41:59.339072
FMWN124F3G,,LO78725,664,rother@moderndemocracy.com,parisa,2024-06-11 10:04:41.771482,HI,2024-07-10 10:42:52.661785
RXW2L72QM3,,LO78724,311,arun@moderndemocracy.com,diana,2024-06-10 11:40:09.668904,HI,2024-07-11 15:01:28.806556
HWYRN9QFL9,,LO78605,1500,rother@moderndemocracy.com,vilte,2024-06-14 16:34:34.813710,HI,2024-07-10 10:41:24.932978
M9GWC44FV1,,LO78604,303,arun@moderndemocracy.com,diana,2024-06-10 11:35:59.097304,HI,2024-07-11 15:06:23.291316
JV2QTR67DD,,LO78603,599,watford@moderndemocracy.com,vilte,2024-06-10 11:09:20.401261,HI,2024-07-10 12:51:56.420494
WXHQ7C5W3C,,LO78602,115,harrow@moderndemocracy.com,diana,2024-06-07 16:29:28.604767,HI,2024-07-11 17:17:25.267418
NX0D7KGF39,,LO78601,148,harrow@moderndemocracy.com,diana,2024-06-07 16:59:41.135129,HI,2024-07-11 17:14:30.343869
YW02GWLR31,00008030-001E192A22C2202E,LO78600,243,crawley@moderndemocracy.com,diana,2024-06-10 10:40:28.760199,HI,2024-07-11 09:26:26.686324
T9J2YKWY6W,,LO78599,619,gosport@moderndemocracy.com,vilte,2024-06-10 10:46:44.889713,HI,2024-07-11 14:41:04.355892
TYQXW4NGP2,,LO78597,221,crawley@moderndemocracy.com,diana,2024-06-10 10:13:19.388516,HI,2024-07-11 09:26:38.429882
H9XYQLQ67H,,LO78596,518,bridgend@moderndemocracy.com,parisa,2024-06-10 09:41:57.458624,HI,2024-07-10 09:00:00.338832
J2GKK4PQW4,,LO78595,596,watford@moderndemocracy.com,vilte,2024-06-10 11:07:55.184093,HI,2024-07-10 13:07:16.532997
V2DJVKXQWG,,LO78594,552,watford@moderndemocracy.com,vilte,2024-06-10 10:37:13.229755,HI,2024-07-10 13:06:27.091016
GK4VH909PN,,LO78593,186,arun@moderndemocracy.com,diana,2024-06-10 09:32:56.065354,HI,2024-07-11 15:03:14.836937
CP9QWM0H2N,,LO78592,188,arun@moderndemocracy.com,diana,2024-06-10 09:35:16.090040,HI,2024-07-11 15:02:42.799843
C0VTYXFGWH,,LO78591,554,watford@moderndemocracy.com,vilte,2024-06-10 10:36:18.736177,HI,2024-07-10 12:51:22.958682
HYC2NCY1Q1,00008030-000904291E22202E,LO78590,198,arun@moderndemocracy.com,diana,2024-06-10 09:42:46.570220,HI,2024-07-11 15:05:09.966009
VJQ9WVYFQD,,LO78589,3929,torfaen@moderndemocracy.com,parisa,2024-06-25 16:17:06.843699,HI,2024-07-10 09:34:58.267515
YFVVQ3V3WM,,LO78588,346,arun@moderndemocracy.com,diana,2024-06-10 12:06:54.597232,HI,2024-07-11 15:05:27.188913
QDLQWC0951,,LO78587,595,watford@moderndemocracy.com,vilte,2024-06-10 11:04:17.153539,HI,2024-07-10 12:50:51.559317
WXG9JF3XXR,,LO78586,342,arun@moderndemocracy.com,diana,2024-06-10 12:05:18.221335,HI,2024-07-11 15:06:02.146870
RYW7F4T42L,,LO78585,,,,,HI,
VJ9MVP3WFP,,LO78584,126,harrow@moderndemocracy.com,diana,2024-06-07 16:43:58.541722,HI,2024-07-11 17:13:34.209288
JVHJQHKV0F,,LO78583,1499,rother@moderndemocracy.com,vilte,2024-06-14 16:37:51.293550,HI,2024-07-10 10:43:24.073477
TJ6XPCQ7CJ,,LO78582,61,harrow@moderndemocracy.com,diana,2024-06-07 15:30:09.924894,HI,2024-07-11 17:11:40.893439
TQ0MK2J7LV,,LO78581,511,bridgend@moderndemocracy.com,parisa,2024-06-10 09:23:00.142214,HI,2024-07-10 08:59:23.283278
HY2TG7P96W,,LO78580,510,bridgend@moderndemocracy.com,parisa,2024-06-10 09:24:20.993977,HI,2024-07-10 09:00:19.660859
KGLHGL7PRW,,LO78579,553,watford@moderndemocracy.com,vilte,2024-06-10 10:36:40.092846,HI,2024-07-10 12:51:16.692417
D16VV9PY25,,LO78578,280,arun@moderndemocracy.com,diana,2024-06-10 11:14:54.943814,HI,2024-07-11 15:04:24.972391
KWLTX65J2K,,LO78577,241,crawley@moderndemocracy.com,diana,2024-06-10 10:39:20.304937,HI,2024-07-11 09:27:48.693522
Q9V0N9F0G2,,LO78576,192,arun@moderndemocracy.com,diana,2024-06-10 09:39:06.904167,HI,2024-07-11 15:03:44.435497
C34FJH4QTD,,LO78575,93,harrow@moderndemocracy.com,diana,2024-06-07 16:05:26.690885,HI,2024-07-11 17:13:22.601454
DY446K3DKQ,,LO78574,672,rother@moderndemocracy.com,parisa,2024-06-11 10:07:08.717376,HI,2024-07-10 10:41:39.205622
GJXVYYJ26D,,LO78573,158,gosport@moderndemocracy.com,diana,2024-06-07 17:13:49.555123,HI,2024-07-11 14:39:45.593294
LQP6X044FK,,LO78572,4100,torfaen@moderndemocracy.com,mehdi,2024-06-26 09:15:26.434628,HI,2024-07-10 09:35:17.832871
TFWLCW3TV9,,LO78571,344,arun@moderndemocracy.com,diana,2024-06-10 12:06:07.859194,HI,2024-07-11 15:04:10.412030
Y0XF0WVQW2,,LO78570,298,arun@moderndemocracy.com,diana,2024-06-10 11:26:31.363181,HI,2024-07-11 15:03:27.586120
JM7R562PG6,,LO78569,77,harrow@moderndemocracy.com,diana,2024-06-07 15:53:26.927867,HI,2024-07-11 17:11:57.716106
MMQWF2WMW3,,LO78568,,,,,HI,
NY4F940V22,00008030-000E59313C82202E,LO78567,215,arun@moderndemocracy.com,diana,2024-06-10 10:08:37.231673,HI,2024-07-11 15:01:39.592214
VT99VQLYQ5,,LO78566,67,harrow@moderndemocracy.com,diana,2024-06-07 15:34:25.198859,HI,2024-07-11 17:12:19.291444
PJ27F2HR9H,,LO78565,,,,,HI,
F21XT46Y40,,LO78564,105,harrow@moderndemocracy.com,diana,2024-06-07 16:22:45.624600,HI,2024-07-11 17:14:23.950567
TGVL640JR9,,LO78563,117,harrow@moderndemocracy.com,diana,2024-06-07 16:30:47.737572,HI,2024-07-11 17:17:20.588863
YLQ79DFD2Y,,LO78562,,,,,HI,
K67GY7QGL9,,LO78561,559,watford@moderndemocracy.com,parisa,2024-06-10 10:17:47.656806,HI,2024-07-10 12:51:34.670115
FJC2MFWLXV,,LO78560,156,harrow@moderndemocracy.com,diana,2024-06-07 17:12:34.153893,HI,2024-07-11 17:14:47.159098
R0754GXF39,00008030-000E14240E42202E,LO78559,200,arun@moderndemocracy.com,diana,2024-06-10 09:44:21.335314,HI,2024-07-11 15:07:23.611921
Q32RVJK4YW,,LO78558,513,bridgend@moderndemocracy.com,parisa,2024-06-10 09:45:30.794242,HI,2024-07-10 08:59:32.075997
L25T4052H7,,LO78557,557,watford@moderndemocracy.com,mehdi,2024-06-11 15:00:52.397711,HI,2024-07-10 13:06:55.041561
MWYRWCYXXY,,LO78556,119,harrow@moderndemocracy.com,diana,2024-06-07 16:32:00.374931,HI,2024-07-11 17:16:24.882275
j5V4P4K41D,,LO78555,594,watford@moderndemocracy.com,vilte,2024-06-10 11:04:57.142695,HI,2024-07-10 13:06:51.225679
JLFY3F2RK7,,LO78554,555,watford@moderndemocracy.com,vilte,2024-06-10 10:35:57.652081,HI,2024-07-10 12:51:04.886254
JVXTP9W2NV,,LO78553,178,arun@moderndemocracy.com,diana,2024-06-10 09:24:14.136596,HI,2024-07-11 15:03:41.781054
DYQWJGQ6HX,,LO78552,659,arun@moderndemocracy.com,vilte,2024-06-10 11:54:10.910262,HI,2024-07-11 15:02:09.239300
PY237JY2LK,,LO78551,138,harrow@moderndemocracy.com,diana,2024-06-07 16:51:48.596816,HI,2024-07-11 17:16:17.840003
FT2NNQXWJ3,,LO78550,549,watford@moderndemocracy.com,parisa,2024-06-10 09:55:56.450438,HI,2024-07-10 13:06:35.638759
R4G2VCQT4Q,,LO78549,23,harrow@moderndemocracy.com,diana,2024-06-07 14:33:59.489574,HI,2024-07-11 17:16:51.763995
P7X4G6W4YG,,LO78548,69,harrow@moderndemocracy.com,diana,2024-06-07 15:38:14.149606,HI,2024-07-11 17:11:45.984926
R6N7H3WGWV,,LO78547,354,rother@moderndemocracy.com,diana,2024-06-11 10:05:47.388282,HI,2024-07-10 10:43:03.867069
X0F1WMQT9Q,,LO78546,,,,,HI,
C631CYYK2R,,LO78545,670,rother@moderndemocracy.com,parisa,2024-06-11 10:07:35.059885,HI,2024-07-10 10:43:36.280977
V03KJHH0FV,00008030-001504621E42202E,LO78544,203,arun@moderndemocracy.com,diana,2024-06-10 09:56:20.873943,HI,2024-07-11 15:06:38.405473
H409TNH2XP,,LO78543,,,,,HI,
V3WJXTX90H,,LO78542,112,harrow@moderndemocracy.com,diana,2024-06-07 16:27:21.447667,HI,2024-07-11 17:17:47.020386
LP6JTQ77QW,,LO78541,509,bridgend@moderndemocracy.com,parisa,2024-06-10 09:25:17.769803,HI,2024-07-10 09:00:16.897110
YYCV62DQ7X,,LO78540,581,watford@moderndemocracy.com,vilte,2024-06-10 10:55:45.486524,HI,2024-07-10 13:06:42.547096
PT43J1X766,,LO78539,84,harrow@moderndemocracy.com,diana,2024-06-07 15:58:28.116223,HI,2024-07-11 17:13:16.134530
T7C3V939MT,,LO78538,546,watford@moderndemocracy.com,parisa,2024-06-10 09:58:14.576041,HI,2024-07-10 13:07:18.276012
M42CVN7MW3,,LO78537,122,harrow@moderndemocracy.com,diana,2024-06-07 16:34:29.108390,HI,2024-07-11 17:16:00.346716
M7FHHF4Q6G,,LO78536,,,,,HI,
RJQKFKX71G,,LO78535,533,watford@moderndemocracy.com,parisa,2024-06-10 09:52:50.714321,HI,2024-07-10 13:07:39.024459
DC639DW0CV,,LO78534,338,arun@moderndemocracy.com,diana,2024-06-10 12:03:23.827197,HI,2024-07-11 15:03:47.439754
LK9047WXXP,,LO78533,218,crawley@moderndemocracy.com,diana,2024-06-10 10:10:56.745790,HI,2024-07-11 09:27:43.988531
F41KGR9F2C,,LO78532,151,gosport@moderndemocracy.com,diana,2024-06-07 17:09:53.398072,HI,2024-07-11 14:39:26.107900
KQGJ12QRXR,,LO78531,195,arun@moderndemocracy.com,diana,2024-06-10 09:41:02.399851,HI,2024-07-11 15:03:32.186067
JYPKXN95WM,,LO78530,570,watford@moderndemocracy.com,parisa,2024-06-10 10:05:18.980327,HI,2024-07-10 12:50:47.922225
JQVK1WT7RK,00008030-001970922E22202E,LO78529,199,arun@moderndemocracy.com,diana,2024-06-10 09:43:26.867569,HI,2024-07-11 15:06:30.328495
G9DFC6GQ9N,,LO78528,654,arun@moderndemocracy.com,vilte,2024-06-10 11:41:57.940492,HI,2024-07-11 15:06:00.438436
M22GKJDXC4,,LO78527,54,harrow@moderndemocracy.com,diana,2024-06-07 15:23:44.082980,HI,2024-07-11 17:12:06.644416
RF7NT9K2WN,,LO78526,167,harrow@moderndemocracy.com,diana,2024-06-07 17:19:20.189527,HI,2024-07-11 17:15:16.659318
P40L7NMPFW,,LO78525,611,gosport@moderndemocracy.com,vilte,2024-06-10 10:51:13.308657,HI,2024-07-11 14:40:06.994449
PC42DH7XH9,,LO78524,134,harrow@moderndemocracy.com,diana,2024-06-07 16:49:10.827614,HI,2024-07-11 17:16:08.568499
QFGYYP0XYN,,LO78523,508,bridgend@moderndemocracy.com,parisa,2024-06-10 09:25:39.617736,HI,2024-07-10 09:00:14.351186
X0MPFQHN43,00008030-001858922E22202E,LO78522,205,arun@moderndemocracy.com,diana,2024-06-10 09:57:35.672770,HI,2024-07-11 15:06:36.025839
DRH7G069XC,00008030-00040C4414C2202E,LO78521,211,arun@moderndemocracy.com,diana,2024-06-10 10:04:26.563554,HI,2024-07-11 15:03:09.281345
RV97R29NFH,,LO78520,4003,cardiff@moderndemocracy.com,mehdi,2024-06-26 10:45:20.515336,HI,2024-07-12 10:28:08.518976
LDLH66GJJ9,,LO78519,349,arun@moderndemocracy.com,diana,2024-06-10 13:52:48.629222,HI,2024-07-11 15:04:38.744776
CFMQKKW5TG,,LO78518,,,,,HI,
CM7LQ16C7Y,,LO78517,543,watford@moderndemocracy.com,parisa,2024-06-10 10:02:43.248175,HI,2024-07-10 12:51:48.970500
L30X79C2FT,,LO78516,336,arun@moderndemocracy.com,diana,2024-06-10 12:02:21.838760,HI,2024-07-11 15:03:29.205425
NJHLFG43N6,,LO78515,111,harrow@moderndemocracy.com,diana,2024-06-07 16:26:46.382889,HI,2024-07-11 17:17:43.711877
CFQ7J3VPGV,,LO78514,131,harrow@moderndemocracy.com,diana,2024-06-07 16:47:14.736058,HI,2024-07-11 17:15:28.568169
RQ00GM4G6F,,LO78513,295,arun@moderndemocracy.com,diana,2024-06-10 11:25:02.670500,HI,2024-07-11 15:05:49.823833
F3YHM2HTC2,,LO78512,7,harrow@moderndemocracy.com,diana,2024-06-07 14:19:30.439375,HI,2024-07-11 17:15:09.199915
W6G7WRT7CD,,LO78511,321,arun@moderndemocracy.com,diana,2024-06-10 11:45:42.012439,HI,2024-07-11 15:01:08.157310
PWPVYCYYCY,00008030-001555663A44202E,LO78510,230,crawley@moderndemocracy.com,diana,2024-06-10 10:31:06.138121,HI,2024-07-11 09:26:03.951735
VKV6924G14,,LO78509,62,harrow@moderndemocracy.com,diana,2024-06-07 15:30:49.001990,HI,2024-07-11 17:12:00.075970
YPXNM9R224,,LO78508,305,arun@moderndemocracy.com,diana,2024-06-10 11:37:17.054664,HI,2024-07-11 15:05:12.184158
H9Q299WCW3,,LO78507,71,harrow@moderndemocracy.com,diana,2024-06-07 15:40:01.003140,HI,2024-07-11 17:12:43.558114
GC2X6NYFQC,,LO78506,177,arun@moderndemocracy.com,diana,2024-06-10 09:23:06.390450,HI,2024-07-11 15:01:30.933421
CV3TCN6X1M,,LO78290,523,bridgend@moderndemocracy.com,parisa,2024-06-10 09:39:38.066832,HI,2024-07-10 09:00:27.086980
R2MXF2WMM9,,LO78289,109,harrow@moderndemocracy.com,diana,2024-06-07 16:25:14.590435,HI,2024-07-11 17:13:45.681176
VNJL2J6G2K,,LO78288,142,harrow@moderndemocracy.com,diana,2024-06-07 16:55:28.642520,HI,2024-07-11 17:14:05.359159
F9W2W3CJH0,,LO78286,302,arun@moderndemocracy.com,diana,2024-06-10 11:35:26.702837,HI,2024-07-11 15:01:13.859108
PJLH66H59P,,LO78285,606,gosport@moderndemocracy.com,vilte,2024-06-10 10:42:56.476295,HI,2024-07-11 14:41:11.011301
CJ6647DQHL,,LO78284,,,,,HI,
GTGJ4HG727,,LO78283,183,arun@moderndemocracy.com,diana,2024-06-10 09:30:02.682662,HI,2024-07-11 15:05:47.666353
N5W21CVVYC,,LO78282,,,,,HI,
MPF6Q0GKQM,,LO78281,629,gosport@moderndemocracy.com,vilte,2024-06-10 11:17:44.441941,HI,2024-07-11 14:39:59.701125
KK6NC2964T,,LO78280,563,watford@moderndemocracy.com,parisa,2024-06-10 10:11:48.960021,HI,2024-07-10 12:51:54.297419
KFKG7QK045,,LO78279,41,harrow@moderndemocracy.com,diana,2024-06-07 15:06:43.294489,HI,2024-07-11 17:12:49.107471
H7YH4TWKQ6,00008030-00044C593CC2202E,LO78278,231,crawley@moderndemocracy.com,diana,2024-06-10 10:31:36.427079,HI,2024-07-11 09:27:35.935941
R2RWDMXVHK,,LO78277,4101,torfaen@moderndemocracy.com,mehdi,2024-06-26 09:16:50.503053,HI,2024-07-10 09:33:52.398371
M0XCW5NHQG,,LO78276,282,arun@moderndemocracy.com,diana,2024-06-10 11:16:07.531739,HI,2024-07-11 15:03:25.876555
NWQMVWGH2R,,LO78275,350,arun@moderndemocracy.com,diana,2024-06-10 13:53:20.370846,HI,2024-07-11 15:05:07.587158
F217DGW1VJ,,LO78274,4099,torfaen@moderndemocracy.com,mehdi,2024-06-26 09:15:02.112619,HI,2024-07-10 09:37:56.739457
CJHJY7QJ6Y,,LO78273,3928,torfaen@moderndemocracy.com,parisa,2024-06-25 16:17:30.902190,HI,2024-07-10 09:37:50.591749
G9TY6Q4FQH,,LO78272,191,arun@moderndemocracy.com,diana,2024-06-10 09:38:15.851728,HI,2024-07-11 15:01:37.493136
N9M9M7HPWK,,LO78271,133,harrow@moderndemocracy.com,diana,2024-06-07 16:48:33.722616,HI,2024-07-11 17:16:12.007132
T7NPY41YG4,,LO78269,,,,,HI,
N3X9464X9W,,LO78268,576,watford@moderndemocracy.com,vilte,2024-06-10 10:53:12.591363,HI,2024-07-10 12:51:10.613501
V1Y4G7407K,,LO78267,,,,,HI,
NJ20WLV9RT,,LO78266,185,arun@moderndemocracy.com,diana,2024-06-10 09:32:21.732723,HI,2024-07-11 15:02:26.553052
NFQVM7DF2M,,LO78265,225,crawley@moderndemocracy.com,diana,2024-06-10 10:16:07.015326,HI,2024-07-11 09:26:05.032773
QCWD9LQQHJ,,LO78264,106,harrow@moderndemocracy.com,diana,2024-06-07 16:23:17.953238,HI,2024-07-11 17:14:26.194776
VRF0RWTNWG,,LO78263,46,harrow@moderndemocracy.com,diana,2024-06-07 15:13:12.417573,HI,2024-07-11 17:12:15.947681
LLG7M0XDY3,,LO78262,193,arun@moderndemocracy.com,diana,2024-06-10 09:39:47.518049,HI,2024-07-11 15:04:04.002950
LHYCT6YNC9,,LO78261,653,arun@moderndemocracy.com,vilte,2024-06-10 11:43:32.090692,HI,2024-07-11 15:06:28.518364
H2254DP674,,LO78260,95,harrow@moderndemocracy.com,diana,2024-06-07 16:07:13.962617,HI,2024-07-11 17:16:33.606126
J66CLY0423,,LO74381,283,arun@moderndemocracy.com,diana,2024-06-10 11:16:46.428060,HI,2024-07-11 15:03:03.956303
VGWP9973FC,,LO74380,143,harrow@moderndemocracy.com,diana,2024-06-07 16:56:11.480471,HI,2024-07-11 17:14:07.424331
NH5MFWYFHH,,LO74379,65,harrow@moderndemocracy.com,diana,2024-06-07 15:32:57.955189,HI,2024-07-11 17:11:50.588362
C2FWVF675D,,LO74377,640,gosport@moderndemocracy.com,vilte,2024-06-10 11:49:44.527076,HI,2024-07-11 14:40:36.437863
H3YW6QCQF9,,LO74376,219,crawley@moderndemocracy.com,diana,2024-06-10 10:11:47.051631,HI,2024-07-11 09:26:29.586978
GPQ076CT2P,,LO74375,222,crawley@moderndemocracy.com,diana,2024-06-10 10:13:54.071758,HI,2024-07-11 09:27:27.658790
X9FLQPFJ6R,,LO74374,63,harrow@moderndemocracy.com,diana,2024-06-07 15:31:25.242513,HI,2024-07-11 17:12:02.206343
V42VHC6X3J,00008030-000978A40E63C02E,LO74373,256,crawley@moderndemocracy.com,diana,2024-06-10 10:50:43.717866,HI,2024-07-11 09:26:50.242763
J2CXW2QXPG,,LO74372,235,crawley@moderndemocracy.com,diana,2024-06-10 10:36:19.010866,HI,2024-07-11 09:27:41.387613
MW1JX6KXWC,,LO74371,10,harrow@moderndemocracy.com,diana,2024-06-07 14:22:14.707766,HI,2024-07-11 17:15:00.306519
K3GT40W1CX,,LO74370,,,,,HI,
KHG76FCQF6,,LO74369,,,,,HI,
GK7M20R9X2,,LO74368,3138,carmarthenshire@moderndemocracy.com,parisa,2024-06-22 11:40:26.905650,HI,2024-07-12 12:22:36.110963
J7VQXGF74Q,00008030-00146C441EE3C02E,LO74367,212,arun@moderndemocracy.com,diana,2024-06-10 10:05:19.021218,HI,2024-07-11 15:05:16.002298
CKK6HYR9PF,,LO74366,179,arun@moderndemocracy.com,diana,2024-06-10 09:25:17.892906,HI,2024-07-11 15:03:23.184780
GM9N7QDG4Y,,LO74365,255,crawley@moderndemocracy.com,diana,2024-06-10 10:50:10.602753,HI,2024-07-11 09:26:25.168224
FL46PPQLCW,,LO74364,189,arun@moderndemocracy.com,diana,2024-06-10 09:36:29.139269,HI,2024-07-11 15:04:00.898645
H3YWV3F7F9,,LO74363,58,harrow@moderndemocracy.com,diana,2024-06-07 15:28:20.420978,HI,2024-07-11 17:11:42.454750
CQN2F4T9DY,,LO74362,52,rother@moderndemocracy.com,diana,2024-06-07 15:22:04.722511,HI,2024-07-10 10:42:59.069435
CJ63P264K1,,LO74361,2,harrow@moderndemocracy.com,diana,2024-06-07 14:14:53.046524,HI,2024-07-11 17:17:57.461232
F4LNX5R6CN,,LO74360,4098,torfaen@moderndemocracy.com,mehdi,2024-06-26 09:14:42.268817,HI,2024-07-10 09:36:53.210639
CQY2J6FCJF,,LO74359,172,harrow@moderndemocracy.com,diana,2024-06-07 17:22:24.234404,HI,2024-07-11 17:15:21.974716
HVCVP99709,,LO74358,607,gosport@moderndemocracy.com,vilte,2024-06-10 10:42:30.701608,HI,2024-07-11 14:40:38.636036
D93VDH2QNV,,LO74357,341,arun@moderndemocracy.com,diana,2024-06-10 12:05:00.886139,HI,
Q5W643KW2D,,LO74356,620,gosport@moderndemocracy.com,vilte,2024-06-10 10:46:13.779263,HI,2024-07-11 14:41:06.433088
FG20WQGHK6,,LO74355,162,gosport@moderndemocracy.com,diana,2024-06-07 17:16:14.163710,HI,2024-07-11 14:40:21.153866
L454G9VJYR,,LO74354,639,gosport@moderndemocracy.com,vilte,2024-06-10 11:50:20.879702,HI,2024-07-11 14:40:22.991107
DY3VHP32WJ,,LO74353,616,gosport@moderndemocracy.com,vilte,2024-06-10 10:48:16.586239,HI,2024-07-11 14:40:30.340150
PF6FVH764X,,LO74352,56,harrow@moderndemocracy.com,diana,2024-06-07 15:26:44.064594,HI,2024-07-11 17:13:57.433769
DQ7L6MXK2X,,LO74351,335,arun@moderndemocracy.com,diana,2024-06-10 12:01:54.449362,HI,2024-07-11 15:02:31.794918
JT6QR9VN7L,,LO74350,571,watford@moderndemocracy.com,vilte,2024-06-10 10:34:54.487631,HI,2024-07-10 13:07:14.553887
F396Y97TW3,,LO74349,1497,rother@moderndemocracy.com,vilte,2024-06-14 16:39:04.924343,HI,2024-07-10 10:41:36.817827
LJ9GY2L4WT,,LO74348,600,watford@moderndemocracy.com,vilte,2024-06-10 11:09:59.958436,HI,2024-07-10 13:06:58.498730
GHP6M77M9F,,LO74347,4,harrow@moderndemocracy.com,diana,2024-06-07 14:16:35.673625,HI,2024-07-11 17:17:52.394890
CNKXY5VXLF,00008030-000E30C93EC0202E,LO74346,259,crawley@moderndemocracy.com,diana,2024-06-10 10:52:22.678327,HI,2024-07-11 09:26:08.008421
X0GK06XNW0,,LO74345,146,harrow@moderndemocracy.com,diana,2024-06-07 16:57:59.369585,HI,2024-07-11 17:14:37.181007
GYQHC6NG7K,,LO74344,1354,rother@moderndemocracy.com,vilte,2024-06-14 16:37:14.148736,HI,2024-07-10 10:43:19.822585
F92PD7MVKR,,LO74343,,,,,HI,
H923W3V4JW,00008030-001844893EC0202E,LO74342,266,crawley@moderndemocracy.com,diana,2024-06-10 10:56:42.128132,HI,2024-07-11 09:27:09.882875
DR4CQ53WYT,,LO74341,565,watford@moderndemocracy.com,parisa,2024-06-10 10:09:51.166272,HI,2024-07-10 13:07:23.965486
